Tag,Name,Description,Subsystem,Area,Unit,Kind,Min,Max,Precision,LL,L,H,HH,Suppressed by,Device,Modbus slave,Function,Register,Data type,Scale,Scope
"JT-1001","Plane-of-Array Irradiance","Silicon irradiance sensor on module plane, 25° tilt","Solar PV System","1000","W/m²","analog","0","1400","0","","","","","","DEV-IRR-01","11","FC04 Input Register","0","uint16","1","in scope"
"TT-1002","PV Module Temperature","Back-of-module PT1000, string 1 centre","Solar PV System","1000","°C","analog","0","90","1","","","70","80","","DEV-IRR-01","11","FC04 Input Register","2","int16","0.1","in scope"
"JT-1003","String 1 DC Voltage","7 × 500 Wp in series","Solar PV System","1000","V","analog","0","400","1","","","360","400","","DEV-INV-01","1","FC04 Input Register","100","uint16","0.1","in scope"
"JT-1004","String 1 DC Current","String 1 input current","Solar PV System","1000","A","analog","0","16","2","","","15","16","","DEV-INV-01","1","FC04 Input Register","101","uint16","0.01","in scope"
"JT-1005","String 2 DC Voltage","7 × 500 Wp in series","Solar PV System","1000","V","analog","0","400","1","","","360","400","","DEV-INV-01","1","FC04 Input Register","102","uint16","0.1","in scope"
"JT-1006","String 2 DC Current","String 2 input current","Solar PV System","1000","A","analog","0","16","2","","","15","16","","DEV-INV-01","1","FC04 Input Register","103","uint16","0.01","in scope"
"EM-1007","PV DC Power","Total array DC power (both strings)","Solar PV System","1000","kW","analog","0","8","2","","","","","","DEV-INV-01","1","FC04 Input Register","110","uint32","0.001","in scope"
"EM-1008","Inverter AC Output Power","8 kW hybrid inverter AC output","Solar PV System","1000","kW","analog","0","8.5","2","","","8","8.4","","DEV-INV-01","1","FC04 Input Register","112","uint32","0.001","in scope"
"TT-1009","Inverter Heatsink Temperature","Internal NTC, derates above 60 °C","Solar PV System","1000","°C","analog","0","100","1","","","65","80","","DEV-INV-01","1","FC04 Input Register","120","int16","0.1","in scope"
"EM-1010","Grid Import / Export Power","Bi-directional utility meter (+ import / − export)","Solar PV System","1000","kW","analog","-8","12","2","","","","","","DEV-MTR-01","2","FC04 Input Register","0","int32","0.001","in scope"
"EM-1011","Total Site Load","AC energy meter, plant + school loads","Solar PV System","1000","kW","analog","0","12","2","","","9","11","","DEV-MTR-01","2","FC04 Input Register","4","uint32","0.001","in scope"
"EM-1012","Grid Frequency","Utility supply frequency","Solar PV System","1000","Hz","analog","45","55","2","49","49.5","50.5","51","","DEV-MTR-01","2","FC04 Input Register","8","uint16","0.01","in scope"
"EM-1013","AC Bus Voltage","Single-phase 240 V nominal","Solar PV System","1000","V","analog","180","280","1","198","216","253","264","","DEV-MTR-01","2","FC04 Input Register","10","uint16","0.1","in scope"
"QT-2001","Rain Gauge","Tipping-bucket, 0.2 mm resolution, 120 m² catchment","Rain Harvesting System","2000","mm/h","analog","0","120","1","","","60","100","","DEV-RAIN-01","21","FC04 Input Register","0","uint16","0.1","in scope"
"FT-2002","Gutter Flow","Post first-flush diverter, marine-grade gutter","Rain Harvesting System","2000","L/min","analog","0","200","1","","","","","","DEV-RAIN-01","21","FC04 Input Register","2","uint16","0.1","in scope"
"LT-2003","Rainwater Tank Level","5 × 600 gal HDPE battery, 11.36 m³ total","Rain Harvesting System","2000","%","analog","0","100","1","10","20","95","99","","DEV-RAIN-01","21","FC04 Input Register","4","uint16","0.1","in scope"
"PT-2004","Rain Pump Discharge Pressure","1 HP salt-resistant centrifugal","Rain Harvesting System","2000","bar","analog","0","6","2","0.5","1","4","5","ZS-2006=0","DEV-PMP-2001","22","FC04 Input Register","0","uint16","0.01","in scope"
"XS-2005","Rain Line Leak Detection","Cable-type leak sensor, tank bund","Rain Harvesting System","2000","","digital","0","1","0","","","","","","DEV-RAIN-01","21","FC02 Discrete Input","0","bool","1","in scope"
"ZS-2006","Rain Transfer Pump Run","P-2001 run feedback","Rain Harvesting System","2000","","digital","0","1","0","","","","","","DEV-PMP-2001","22","FC02 Discrete Input","0","bool","1","in scope"
"LT-3001","Belawai River Level","Tidal — flood ≈13:00, ebb ≈21:00; jetty 0.5–5 m","River Intake System","3000","m","analog","0","6","2","0.6","1","4.6","5","","DEV-INT-01","31","FC04 Input Register","0","uint16","0.01","in scope"
