Device ID,Description,Model,Protocol,Slave,Segment,Area,Scope,Points
"DEV-INV-01","Hybrid Inverter","8 kW Hybrid PV Inverter","Modbus RTU","1","RS-485 #1","Solar PV System","in scope","7"
"DEV-MTR-01","Bi-directional Energy Meter","Class 1 AC Meter","Modbus RTU","2","RS-485 #1","Solar PV System","in scope","4"
"DEV-IRR-01","Weather / Irradiance Station","Si-Sensor + PT1000","Modbus RTU","11","RS-485 #1","Solar PV System","in scope","2"
"DEV-BMS-01","Battery Management System","16S LiFePO₄ BMS 51.2 V / 200 Ah","Modbus RTU","81","RS-485 #1","Battery Management","in scope","28"
"DEV-RAIN-01","Rain Harvest RTU","8AI / 4DI Remote I/O","Modbus RTU","21","RS-485 #2","Rain Harvesting System","in scope","4"
"DEV-PMP-2001","Rain Pump Controller","VFD + Run Feedback","Modbus RTU","22","RS-485 #2","Rain Harvesting System","in scope","2"
"DEV-INT-01","River Intake RTU","12AI / 8DI Remote I/O","Modbus RTU","31","RS-485 #2","River Intake System","in scope","6"
"DEV-PMP-3001","River Pump A Controller","DOL Starter + Vibration Module","Modbus RTU","32","RS-485 #2","River Intake System","in scope","3"
"DEV-PMP-3002","River Pump B Controller","DOL Starter","Modbus RTU","33","RS-485 #2","River Intake System","in scope","1"
"DEV-FLT-01","Filtration Panel RTU","12AI / 8DI / 4DO Remote I/O","Modbus RTU","41","RS-485 #3","Filtration System","in scope","9"
"DEV-RO-01","RO Skid Junction Box","Wired, awaiting skid (future)","Modbus RTU","51","RS-485 #3","Desalination (RO) System","future","8"
"DEV-STO-01","Clean Storage RTU","8AI / 4DI Remote I/O","Modbus RTU","61","RS-485 #4","Clean Water Storage","in scope","9"
"DEV-DIS-01","Distribution RTU","8AI / 8DI Remote I/O","Modbus RTU","71","RS-485 #4","Distribution System","in scope","4"
"DEV-DIS-02","School Smart Water Meter","NB-IoT Ultrasonic Meter","Modbus RTU","72","RS-485 #4","Distribution System","in scope","1"
"DEV-DIS-03","Longhouse Smart Water Meter","NB-IoT Ultrasonic Meter","Modbus RTU","73","RS-485 #4","Distribution System","in scope","1"
"GW-EDGE-01","Edge IoT Gateway","Industrial Edge Gateway","MQTT / TLS","","Ethernet","","in scope","0"
"PLC-MAIN-01","Main PLC Controller","Industrial PLC (S7-1200 class)","Modbus TCP","","Ethernet","","in scope","0"
"HMI-01","Control Room HMI","15"" Touchscreen HMI","Modbus TCP","","Ethernet","","in scope","0"
